Node,Pressure,Enthalpy,Mass Flow Rate,CrossFlow
1,12262435.263056746,1100.7452506005739,0.2786623908977244,0.0006636479465854463
2,12262398.330513738,1100.7905007115921,0.27866148952691094,0.0010618433080213615
3,12262361.37222494,1100.83575035572,0.27866049138616095,0.0010811872739383557
4,12262324.391282555,1100.8809995648949,0.27865937327931956,0.0014933213667055883
5,12262287.382617412,1100.926248360721,0.278658149405835,0.0015271052724605918
6,12262250.349254275,1100.9714967809382,0.27865679626032214,0.00195417573957079
7,12262213.286054445,1101.01674484627,0.2786553277229166,0.002003437933794302
8,12262176.19597073,1101.0619926004451,0.2786537199586766,0.002446516134113882
9,12262139.073790371,1101.1072400635005,0.2786519865071836,0.002512371280560001
10,12262101.895789986,1101.152487173015,0.2786503177010686,0.001732613235453355
11,12262064.734872026,1101.1977341261004,0.2786483195389305,0.0029324684256358227
12,12262027.490519503,1101.2429807794579,0.27864637534791814,0.0021668712458483043
13,12261990.260659527,1101.288227362456,0.27864409075233204,0.003381411274645022
14,12261952.944682153,1101.3334737054809,0.2786418487166099,0.0026309838219415902
15,12261915.640429713,1101.378720070382,0.27863925446458754,0.0038612583103217134
16,12261878.2471925,1101.4239662614586,0.2786366905755713,0.003127082099377555
17,12261840.862723105,1101.4692125732827,0.2786337618450805,0.004374216221107184
18,12261803.38620482,1101.5144587843092,0.27863085044340535,0.0036574506104295893
19,12261765.91529518,1101.5597052220935,0.27862756070810146,0.00492265048738739
20,12261728.349062778,1101.604951639507,0.2786242743750004,0.004224538233227935
21,12261690.785064438,1101.6501983973674,0.2786205952921374,0.0055090967079445665
22,12261653.122245837,1101.695445223242,0.27861690473378503,0.004830969909201061
23,12261615.458057074,1101.7406925115122,0.2786128060248702,0.006136272721185769
24,12261577.691312164,1101.7859399647382,0.2786086799492455,0.0054795591770661145
25,12261539.919348057,1101.83118801119,0.2786041292729792,0.006807091569346133
26,12261502.040837782,1101.87643632874,0.2785995342587684,0.006173321580910313
27,12261464.152998291,1101.9216853798946,0.2785944970757705,0.0075246753667388465
28,12261426.154351704,1101.9669348181806,0.2785893974327995,0.006915489009850861
29,12261388.141987683,1102.0121851407139,0.2785838368616036,0.0082923701277218
30,12261350.014266865,1102.0574359770424,0.27857819448226884,0.007709525027949513
31,12261311.868143853,1102.1026878592938,0.2785720711460325,0.009113761619528657
32,12261273.601806512,1102.147940393428,0.278565845347156,0.008559141265649307
33,12261235.312066114,1102.1931941470175,0.278559117210494,0.009992692308583595
34,12261196.896925744,1102.2384487028528,0.2785522645649956,0.00946831493389171
35,12261158.453044515,1102.2837046644163,0.27854488676031636,0.010933279466737228
36,12261119.878227944,1102.3289615917772,0.27853736091806347,0.010441307539795896
37,12261081.268973578,1102.374220124827,0.27852928556074535,0.011939934516505444
38,12261042.52287572,1102.4194798013943,0.2785210370578978,0.011482684876500143
39,12261003.736260343,1102.4647412983152,0.2785122130496039,0.013017383690832357
40,12260964.806496017,1102.5100041316925,0.27850318910573096,0.012597338371468942
41,12260925.82972645,1102.555269015882,0.27849356192512,0.014170690091753655
42,12260886.703078981,1102.6005354458116,0.278483706227325,0.013790507873660724
43,12260847.522503724,1102.6458041739754,0.27847321770736716,0.01540527723512262
44,12260808.184870277,1102.691074674715,0.27846247018061165,0.01506780597292072
45,12260768.785923017,1102.7363477393278,0.2784510582716828,0.016726954169908617
46,12260729.22225624,1102.7816228221996,0.27843935483444815,0.01643524394163412
47,12260689.589395696,1102.8269007541428,0.27842695335231343,0.01814194227150025
48,12260649.783641608,1102.8721809702643,0.27841422565669627,0.017899259397819407
49,12260609.900287371,1102.9174643416568,0.2784007640144506,0.019656903805041946
50,12260569.83531918,1102.9627502848703,0.27838693916973023,0.01946674579157342
51,12260529.683783414,1103.0080397121003,0.27837234209271317,0.021278972364955975
52,12260489.341330945,1103.0533320221136,0.27835734237137444,0.02114508381878459
53,12260448.902745565,1103.0986281690903,0.27834152959400804,0.023015785296485708
54,12260408.263320135,1103.1439275348432,0.27832527211915215,0.022942174873211835
55,12260367.517559243,1103.1892311164822,0.27830815806260967,0.024875518211934088
56,12260326.560373565,1103.2345382797532,0.2782905544756175,0.024866476649990782
57,12260285.485970812,1103.279850065713,0.2782720479051549,0.02686692171662971
58,12260244.188853681,1103.3251658249894,0.27825300401241343,0.026927041017481317
59,12260202.762914179,1103.3704866436742,0.2782330076731402,0.02899936046188761
60,12260161.102219563,1103.415811858295,0.27821242307056937,0.02913355427532426
61,12260119.300326068,1103.4611426011481,0.27819083330036665,0.031282854646590384
62,12260077.250836223,1103.5064781957476,0.27816860097442486,0.03149637992211425
63,12260035.04694914,1103.5518198218485,0.2781453072926501,0.03372812408817
64,12259992.581771411,1103.5971667911165,0.2781213131964209,0.03402660405562399
65,12259949.948122272,1103.6425203321112,0.2780961978669713,0.036346634990331056
66,12259907.038579121,1103.6878797458949,0.2780703204698691,0.036736083528999944
67,12259863.9455571,1103.7332463112743,0.27804325803710295,0.039150649528311085
