Node,Pressure,Enthalpy,Mass Flow Rate,CrossFlow
1,12262438.69478048,1100.7380607981293,0.33130257811908237,0.0008903415143858143
2,12262403.385969523,1100.7761222961963,0.3313048055333145,0.0012562840711644954
3,12262368.202552244,1100.8141844906252,0.331307062303879,0.0012355034466985588
4,12262333.024216937,1100.8522473222843,0.33131005527365975,0.0016112637429444763
5,12262297.976164225,1100.8903107680694,0.3313131065494117,0.0016006114736264354
6,12262262.938270915,1100.9283747829918,0.33131692400443996,0.001986794947788704
7,12262228.035912082,1100.966439324229,0.33132083087559966,0.001986899032996553
8,12262193.14916906,1101.0045043607379,0.3313255361389634,0.002384150277492484
9,12262158.403602343,1101.0425698297727,0.33133036425474904,0.0023956793066083767
10,12262123.679515306,1101.0806357139847,0.3313360319792221,0.0028046845987566055
11,12262089.103837833,1101.1187019298036,0.3313418521960057,0.0028283889799330217
12,12262054.55482729,1101.1567684742308,0.331348549281505,0.0032498815938950946
13,12262020.160750033,1101.1948352430015,0.3313554374792838,0.0032864835704297596
14,12261985.800111426,1101.232902246698,0.33136324259850125,0.003721241862229973
15,12261951.601416506,1101.2709693601053,0.33137128034367874,0.0037715487347573778
16,12261917.443437671,1101.3090366071326,0.33138027806884746,0.004220401397987809
17,12261883.454936147,1101.347103841341,0.33138955304837286,0.004285272635570973
18,12261849.51497181,1101.3851710996955,0.3313998343022211,0.004749101918960731
19,12261815.75258093,1101.4232382142395,0.331410440792009,0.004829452489069217
20,12261782.047132852,1101.461305234705,0.3314221033343909,0.005309197607933962
21,12261748.5279592,1101.4993719713025,0.331434142704879,0.005406001503156143
22,12261715.0747624,1101.5374384862241,0.3314472916580682,0.0059026622534758
23,12261681.817191336,1101.5755045675096,0.3314608729200231,0.006016956228684788
24,12261648.635306915,1101.6135702894828,0.3314756213359193,0.006531596812992005
25,12261615.659098864,1101.6516354176513,0.33149086172989517,0.006664484340512389
26,12261582.769013861,1101.6897000381223,0.33150733120269793,0.00719823741788251
27,12261550.095407894,1101.7277638934834,0.33152435683585374,0.007350892871827476
28,12261517.519142775,1101.7658270812535,0.33154267816407956,0.007904963839980902
29,12261485.170968143,1101.8038893206854,0.3315616246984161,0.008078636920661745
30,12261452.932192512,1101.8419507203146,0.3315819386005099,0.008654308442111914
31,12261420.933988683,1101.880010975616,0.3316029519969705,0.008850328849783125
32,12261389.05814582,1101.9180702057206,0.33162540988516026,0.009448965631111503
33,12261357.436291695,1101.9561280818516,0.33164864720845993,0.009668747999354353
34,12261325.950732645,1101.9941847332877,0.33167341202594675,0.010291801833381638
35,12261294.733585674,1102.0322398064943,0.33169904231546876,0.010536850933388705
36,12261263.66771359,1102.0702934404217,0.331726289442549,0.011185866016030348
37,12261232.885759553,1102.108345256237,0.33175449465516804,0.011457782238953985
38,12261202.27118512,1102.1463954020571,0.3317844128904286,0.012134400766802379
39,12261171.957199411,1102.1844434731745,0.3318153889217061,0.012434885896172641
40,12261141.827908222,1102.2224896263344,0.3318481815450578,0.013140853956442175
41,12261112.017129524,1102.2605334303412,0.3318821393359043,0.013471717236847612
42,12261082.409662325,1102.2985750499988,0.33191802526090003,0.014208890995081562
43,12261053.139979646,1102.336614026969,0.33195519199752566,0.014572055504272697
44,12261024.093626434,1102.3746505335107,0.33199440702117344,0.015342407698519269
45,12260995.405780572,1102.4126840834476,0.33203502743695684,0.015739917031389942
46,12260966.962789692,1102.4507148558525,0.3320778255961137,0.01654554377583704
47,12260938.900590198,1102.4887423359714,0.33212216338493716,0.01697956904135939
48,12260911.106393522,1102.5267667090143,0.33216881842931434,0.01782269694443273
49,12260883.716952454,1102.564787430865,0.3322171577809322,0.018295544080725583
50,12260856.62040803,1102.6028046921538,0.3322679647738558,0.019178537677694497
51,12260829.954391757,1102.6408179185707,0.3323206120430275,0.019692655082342903
52,12260803.608045155,1102.6788273054112,0.3323758891023004,0.020618024579724115
53,12260777.719945656,1102.7168322472896,0.3324331746247107,0.021176011054107467
54,12260752.180311605,1102.7548329433705,0.3324932648173317,0.022146420382337627
55,12260727.128738781,1102.7928287562618,0.3325555448868115,0.022751033379837287
56,12260702.456604615,1102.8308198881596,0.33262081829286333,0.02376930854189018
57,12260678.30460128,1102.8688056686826,0.3326884773160908,0.024423472712041087
58,12260654.565353915,1102.9067863021799,0.3327593332789051,0.025492610415521606
59,12260631.380735246,1102.9447610842453,0.33283278612567646,0.02619942641969267
60,12260608.644713601,1102.9827302204606,0.33290965570742,0.027322602967408703
61,12260586.500432955,1103.020692971308,0.3329893502767584,0.028085356547612798
62,12260564.843307745,1103.058649542641,0.33307269894090913,0.029265936960156065
63,12260543.81785094,1103.0965991586897,0.3331591189657699,0.030088108222316286
64,12260523.321034025,1103.1345420245793,0.3332494495106202,0.031329655554669135
65,12260503.498844333,1103.1724773270969,0.3333431176268066,0.03221492842599897
66,12260484.249929972,1103.2104052696025,0.33344097339720197,0.03352121322393802
67,12260465.721866224,1103.248325000199,0.33354245450540776,0.03447348502648413
68,12260447.815106714,1103.2862367194123,0.33364842291346675,0.0358484948661905
69,12260430.678937111,1103.3241395353734,0.333758327867155,0.036871885937837134
70,12260414.215755545,1103.3620336446759,0.3338730442568054,0.03831983496380899
71,12260398.576690007,1103.3999181141494,0.3339920339130506,0.039418698236905726
72,12260383.666233018,1103.4377931353354,0.33411618580797636,0.04094403660479224
73,12260369.63749711,1103.4756577323976,0.33424497548352905,0.04212296703490131
74,12260356.397230798,1103.5135120906928,0.33437930726366843,0.043730390134447655
75,12260344.100684457,1103.5513551903266,0.3345186716444937,0.04499423384498817
76,12260332.657036856,1103.5891872093362,0.33466398970271644,0.04668869115731439
77,12260322.223841399,1103.6270070823612,0.3348147682622813,0.04804255413609053
78,12260312.712895108,1103.664814978998,0.33497194670048314,0.04982925754309243
79,12260304.284232415,1103.7026097870103,0.33513504969035574,0.05127851369125804
80,12260296.8524713,1103.7403916664634,0.33530503662322353,0.053162945017560484
81,12260290.580319032,1103.7781594568526,0.33548145170931193,0.05471324330937067
82,12260285.385433216,1103.8159133076754,0.33566527625464637,0.056701160828033684
83,12260281.433400583,1103.8536520088078,0.3358560758840466,0.05835843128561744
84,12260278.645154187,1103.891375698226,0.33605485593123835,0.06045587486912699
85,12260277.189382806,1103.9290831149053,0.33626120552851957,0.06222633300108623
86,12260276.9905493,1103.9667743844661,0.33647615639195116,0.06443962752265918
87,12260278.220684176,1104.0044481938114,0.33669932350035614,0.06632977679564432
88,12260280.808054393,1104.0421046555334,0.3369317675827597,0.06866553331382227
89,12260284.928290257,1104.0797424034454,0.33717313208584754,0.07068216514319879
90,12260290.513758644,1104.1173615366606,0.3374245096987275,0.07314727930492805
91,12260297.743967405,1104.1549606350982,0.33768557528233384,0.07529746994353839
92,12260306.555702245,1104.1925397842285,0.3379574567974163,0.07789911692154093
93,12260317.132647391,1104.2300975095593,0.33823986384145543,0.08019022049795947
94,12260329.416351188,1104.2676338831275,0.338533963379959,0.082935845645693
95,12260343.594995579,1104.305147375891,0.33883950350601594,0.08537548245578544
