Node Number,Pressure,Enthalpy,CrossFlow,MassFlow
0,10999977.02986619,969.1256369071837,0.0012440159826818857,0.05151719218068202
1,10999976.800630981,969.251270355104,0.0009941324148993486,0.05151897562755003
2,10999976.569005413,969.3768996153865,0.0013254181936168533,0.05152111263918443
3,10999976.340606153,969.5025250976906,0.0010759784461088465,0.051522993611004576
4,10999976.109821817,969.6281463050957,0.0014077013374677676,0.05152522878672036
5,10999975.882267993,969.7537634132434,0.0011587107072202865,0.05152720862660109
6,10999975.652334457,969.8793761567039,0.001490875402339328,0.051529543315339474
7,10999975.425635647,970.0049844770424,0.0012423392590112012,0.051531623382326315
8,10999975.196562586,970.1305883403583,0.0015749505194881028,0.05153405894904928
9,10999974.970728466,970.2561874540814,0.0013268743058455674,0.051536240618336775
10,10999974.74252563,970.381782015878,0.0016599369581320731,0.051538778444228904
11,10999974.517565954,970.5073714989846,0.0014123261945083961,0.05154106310735786
12,10999974.290243186,970.632956332671,0.001745845136312872,0.05154370459003463
13,10999974.066167803,970.7585357559227,0.0014987054205219878,0.051546093655104853
14,10999973.839735039,970.8841104296504,0.001832685620663973,0.05154884020882303
15,10999973.616553903,971.0096793585301,0.001586022629368879,0.051551335100714066
16,10999973.39102118,971.1352434351505,0.0019204691288023338,0.05155418815659744
17,10999973.168744324,971.2608014298208,0.0016742886169087636,0.05155679031717991
18,10999972.944121772,971.3863544668438,0.0020092065291991744,0.05155975132342766
19,10999972.722759329,971.5119010821048,0.001763514332993142,0.05156246221178954
