Node Number,Pressure,Enthalpy,CrossFlow,MassFlow
0,10999960.282311834,969.2002811215668,-0.0,0.02575617670340117
1,10999959.831349887,969.4005691951888,1.02903635548558e-06,0.02575475490264506
2,10999959.380113238,969.6008643315929,2.0672391711679876e-06,0.02575331047207649
3,10999958.92860077,969.8011666414045,3.1138976064826232e-06,0.025751843441006873
4,10999958.476813545,970.0014762354567,4.170023602907454e-06,0.025750353683683794
5,10999958.024750443,970.2017932249302,5.2349070602124895e-06,0.025748841229326764
6,10999957.57241254,970.4021177207652,6.309562897635586e-06,0.025747305952086495
7,10999957.119798707,970.6024498346983,7.393283246447761e-06,0.025745747881091796
8,10999956.666910015,970.8027896777774,8.487083020187112e-06,0.02574416689039116
9,10999956.213745348,971.0031373622958,9.590259564363306e-06,0.025742563009022928
10,10999955.760305772,971.2034929994093,1.070382890520569e-05,0.025740936110931766
11,10999955.306590172,971.4038567019688,1.1827093229108248e-05,0.025739286225061074
12,10999954.852599612,971.604228581239,1.2961070793363815e-05,0.025737613225250273
13,10999954.398332972,971.8046087506289,1.4105061539743366e-05,0.025735917140345503
14,10999953.943791322,972.0049973215116,1.526008968524434e-05,0.025734197844078356
15,10999953.488973549,972.205394407856,1.642545963865049e-05,0.025732455365196975
16,10999953.033880718,972.4058001211445,1.760219262680762e-05,0.02573068957732352
17,10999952.578511713,972.6062145759055,1.878959864369417e-05,0.025728900509105236
18,10999952.122867601,972.8066378837314,1.998870301065932e-05,0.02572708803405187
19,10999951.666947262,973.007070159711,2.1198815340006654e-05,0.025725252180705895
