Node Number,Pressure,Enthalpy,CrossFlow,MassFlow
0,10999973.562572677,969.1256368226282,-0.0033158281511623208,0.05151722685253863
1,10999973.330757193,969.2512708052828,-0.0033327574358353873,0.05151959019707683
2,10999973.100954702,969.3769022302625,-0.0033484693671863557,0.051521830130971544
3,10999972.870260146,969.5025306096255,-0.0033656628188131555,0.05152435945116831
4,10999972.641583543,969.6281560671218,-0.003381640789652372,0.05152676624479778
5,10999972.412019497,969.7537782709913,-0.0033991015810795437,0.05152946332709232
6,10999972.18447843,969.8793971863564,-0.003415348791318269,0.05153203877321986
7,10999971.956054553,970.0050126377197,-0.003433080137401067,0.05153490541848705
8,10999971.729658742,970.1306244314954,-0.003449599830365191,0.051537651324346595
9,10999971.502384791,970.256232548533,-0.003467604988838307,0.05154068934799403
10,10999971.277144033,970.3818366364561,-0.0034844004491605724,0.0515436075353854
11,10999971.05102983,970.5074368325465,-0.003502682722641583,0.05154681876743477
12,10999970.82695401,970.6330326255534,-0.0035197572812602014,0.051549911072812454
13,10999970.602009458,970.7586243092788,-0.003538320014788851,0.051553297357994854
14,10999970.379108533,970.8842112135114,-0.003555677043503359,0.05155656563255345
15,10999970.155343616,971.0097937886649,-0.003574523626944062,0.05156012883039373
16,10999969.93362764,971.1353712054785,-0.003592166545310963,0.05156357494016445
17,10999969.711052427,971.260944071071,-0.0036113004154027855,0.05156731692508049
18,10999969.490531525,971.3865113970427,-0.003629232688309438,0.051570942751020574
19,10999969.269156171,971.5120739473124,-0.0036486573262446776,0.051574865412412026
