Node Number,Pressure,Enthalpy,CrossFlow,MassFlow
0,10999977.02986619,969.1256369071837,0.0006417676467467356,0.05151719218068202
1,10999976.800625196,969.251270355109,0.000890417077458472,0.05151897562539647
2,10999976.568993654,969.3768996154066,0.0007476628497235586,0.05152111263265073
3,10999976.340588253,969.5025250977415,0.0009969281468436347,0.05152299359779762
4,10999976.109797586,969.6281463051978,0.0008547785104390668,0.05152522876447261
5,10999975.882237252,969.7537634134229,0.001104664464951142,0.051527208592872076
6,10999975.652297024,969.8793761569929,0.0009631225277096206,0.051529543267613685
7,10999975.42559134,970.0049844774784,0.001213633937999718,0.051531623318012795
8,10999975.196511213,970.130588340985,0.0010727027999799168,0.05153405886547746
9,10999974.970669836,970.2561874549491,0.0013238444766430278,0.051536240512753975
10,10999974.742459554,970.3817820170427,0.0011835272254999021,0.05153877831380363
11,10999974.517492248,970.5073715005094,0.0014353039871878536,0.05154106294917581
12,10999974.290161649,970.6329563346255,0.0012956037013608986,0.05154370440109415
13,10999974.066078253,970.7585357583835,0.0015480203754641177,0.05154609343232172
14,10999973.83963728,970.884110432701,0.0014089401217623337,0.05154883994902609
15,10999973.61644773,971.0096793622616,0.0016620015435893274,0.051551334800637255
16,10999973.3909064,971.1352434396614,0.0015235443792368912,0.0515541878128883
17,10999973.168620734,971.2608014352171,0.0017772553915535356,0.05155678992638928
18,10999972.943989165,971.3863544732396,0.001639424360261705,0.0515597508820127
19,10999972.72261751,971.5119010896221,0.0018937898143094193,0.051562461716111396
