Node Number,Pressure,Enthalpy,CrossFlow,MassFlow
0,10999973.56252276,969.1256418828458,-0.0006941517088252739,0.051515152
1,10999973.316035459,969.2512837631086,-0.0006986543532850204,0.051515153083196555
2,10999973.069555769,969.3769256381787,-0.0007026642125742888,0.05151515526085168
3,10999972.823083771,969.5025675054218,-0.0007073449994031918,0.051515158543512136
4,10999972.576619519,969.6282093621759,-0.0007115343163081062,0.05151516294281033
5,10999972.330163088,969.7538512057531,-0.0007163956817698857,0.051515168469662254
6,10999972.083714548,969.8794930334375,-0.000720766911683946,0.051515175136079325
7,10999971.837273978,970.0051348424862,-0.0007258113179539852,0.05151518295336066
8,10999971.590841442,970.130776630127,-0.0007303669440851368,0.05151519193390064
9,10999971.34441702,970.2564183935605,-0.0007355968796826206,0.051515202089381505
10,10999971.098000778,970.3820601299568,-0.000740339410503111,0.05151521343258487
11,10999970.851592798,970.5077018364576,-0.00074575739147099,0.0515152259755865
12,10999970.605193155,970.6333435101734,-0.0007506893645093046,0.05151523973156309
13,10999970.358801937,970.7589851481855,-0.0007562979363427749,0.051515254712992356
14,10999970.112419216,970.884626747543,-0.0007614219156377119,0.05151527093345371
15,10999969.86604508,971.0102683052646,-0.0007672236499930359,0.051515288405829744
16,10999969.619679607,971.1359098183361,-0.0007725422280251965,0.051515307144108666
17,10999969.373322884,971.2615512837117,-0.0007785397235333361,0.05151532716158224
18,10999969.126974994,971.387192698312,-0.000784055520921219,0.05151534847265531
19,10999968.880636029,971.5128340590251,-0.0007902514040039076,0.0515153710910402
