Node Number,Pressure,Enthalpy,CrossFlow,MassFlow
0,10999984.69697576,969.145249092103,-0.0003449900314113726,0.025757757573700742
1,10999984.227451414,969.2904968622261,-0.00022840436037251504,0.025757877786521992
2,10999983.756448865,969.4357431953703,-0.00027319479702585275,0.025758021573257267
3,10999983.28600873,969.5809883590553,-0.00015635357590263837,0.025758103864613004
4,10999982.814088397,969.7262323035907,-0.00020088893634350293,0.02575820959563213
5,10999982.34272852,969.8714752323568,-8.379051426478509e-05,0.025758253695902796
6,10999981.869886445,970.0167171609796,-0.0001280686621415948,0.025758321100461817
7,10999981.397602838,970.1619582287027,-1.0711371531272625e-05,0.02575832673802578
8,10999980.923835032,970.3071985164768,-5.473015035142631e-05,0.02575835554336807
9,10999980.450623697,970.4524380994104,6.288769062633884e-05,0.02575832244458353
10,10999979.975926148,970.5976771237885,1.913045752451716e-05,0.025758312375921674
11,10999979.501783054,970.7429156005861,0.00013701054869026991,0.025758240265106574
12,10999979.026151735,970.8881537414318,9.35170599564193e-05,0.025758191045601335
13,10999978.551072834,971.0333914931681,0.000211661115501916,0.02575807964501423
14,10999978.074503688,971.178629132778,0.00016843359115918406,0.025757990995755726
15,10999977.598484911,971.3238665429717,0.0002868433391412387,0.025757840025577232
16,10999977.120973865,971.4691040660979,0.00024388402029310925,0.025757711665566552
17,10999976.644011114,971.614341520734,0.0003625612089578969,0.025757520843877627
18,10999976.165554065,971.7595793146064,0.0003198723582375922,0.02575735249000487
19,10999975.687643228,971.9048172021589,0.000438818750730831,0.025757121532767643
