Node Number,Pressure,Enthalpy,CrossFlow,MassFlow
0,10999973.56252276,969.125643664969,-0.0006941538272536155,0.05151442131176079
1,10999973.310895354,969.2512891260033,-0.0006986564486836572,0.05151368480194467
2,10999973.059233375,969.3769363958646,-0.0007026673581107869,0.05151294297928926
3,10999972.807540454,969.5025854890378,-0.0007073493941996564,0.051512195129263916
4,10999972.555811612,969.6282364187808,-0.0007115410773792594,0.051511441758888804
5,10999972.304050473,969.7538892000849,-0.0007164049961210461,0.05151068215217819
6,10999972.052252052,969.8795438467129,-0.0007207799400860636,0.05150991681440844
7,10999971.800419955,970.0052003741697,-0.0007258282340829967,0.05150914502812246
8,10999971.548549185,970.130858796731,-0.0007303889549838947,0.05150836729682193
9,10999971.296643348,970.2565191304234,-0.0007356241467186854,0.05150758290157424
10,10999971.044697434,970.3821813900431,-0.0007403731854006763,0.051506792344081335
11,10999970.792715032,970.507845592147,-0.0007457978216951875,0.05150599490391643
12,10999970.54069114,970.6335117520596,-0.000750737750465065,0.05150519108095821
13,10999970.288629318,970.7591798868757,-0.0007563544077566875,0.05150438015327566
14,10999970.036524557,970.8848500124572,-0.0007614878233527768,0.051503562618888485
15,10999969.784380415,971.0105221464447,-0.0007672991055132851,0.051502737754355064
16,10999969.532191874,971.1361963052457,-0.0007726286351307299,0.05150190605581158
17,10999969.279962482,971.2618725070552,-0.0007786371724062319,0.05150106679829373
18,10999969.027687203,971.3875507688343,-0.0007841654681621441,0.05150022047602188
19,10999968.775369577,971.5132311093411,-0.0007903739202175394,0.05149936636249501
