Node Number,Pressure,Enthalpy,CrossFlow,MassFlow
0,10999973.56252276,969.1256384701385,-0.0,0.051516551301782496
1,10999973.325878609,969.2512755219389,1.0290367283826652e-06,0.051517974377216266
2,10999973.089389075,969.37691113075,2.065058562092524e-06,0.051519421140346695
3,10999972.853053316,969.5025452718414,3.1073301462301085e-06,0.051520891809141885
4,10999972.61687264,969.6281779202602,4.156835554434431e-06,0.05152238629802419
5,10999972.380846208,969.7538090514158,5.212839432880864e-06,0.05152390482520534
6,10999972.144975321,969.8794386400541,6.276329212554413e-06,0.05152544730538777
7,10999971.90925914,970.0050666617251,7.346574015387966e-06,0.05152701395702739
8,10999971.673698977,970.1306930908746,8.424562765281788e-06,0.05152860469510937
9,10999971.438293982,970.2563179031943,9.509563839284137e-06,0.05153021973833392
10,10999971.203045467,970.3819410728297,1.060257026454664e-05,0.05153185900196823
11,10999970.967952587,970.507562575615,1.1702856385294672e-05,0.05153352270495977
12,10999970.733016644,970.6331823853969,1.2811411874043028e-05,0.051535210762859635
13,10999970.4982368,970.7588004781525,1.3927514804726125e-05,0.051536923394862134
14,10999970.263614358,970.8844168274304,1.5052160071912032e-05,0.05153866051680652
15,10999970.029148478,971.0100314093517,1.618462686887286e-05,0.05154042234813416
16,10999969.794840453,971.1356441971676,1.7325910837519558e-05,0.05154220880496987
17,10999969.560689457,971.2612551671434,1.8475294154857534e-05,0.05154402010700721
18,10999969.32669678,971.3868642922343,1.9633775820472725e-05,0.051545856170662416
19,10999969.092861589,971.5124715488507,2.0800641367907095e-05,0.051547717215877385
