Node Number,Pressure,Enthalpy,CrossFlow,MassFlow
0,10999973.56252276,969.1256384701348,-0.0,0.051516551303264074
1,10999973.325879429,969.2512755211067,-9.716252872239907e-07,0.05151797465918548
2,10999973.089391863,969.3769111265899,-1.9464591353632145e-06,0.051519422675654
3,10999972.853064923,969.5025452604237,-2.9245350634708376e-06,0.051520894638678705
4,10999972.616893336,969.6281778973332,-3.905844557147e-06,0.05152239138799262
5,10999972.38088279,969.7538090099531,-4.890426519907393e-06,0.05152391221012325
6,10999972.145028016,969.8794385740597,-5.878270569925581e-06,0.05152545794486708
7,10999971.909334693,970.0050665610839,-6.8694200822087085e-06,0.05152702787899749
8,10999971.67379755,970.1306929478541,-7.863863553246203e-06,0.051528622852368866
9,10999971.438422272,970.2563177045986,-8.861644727481232e-06,0.05153024215200246
10,10999971.203203589,970.3819408091981,-9.862752098355696e-06,0.05153188661781049
11,10999970.96814718,970.5075622306799,-1.0867231644038853e-05,0.0515335555370641
12,10999970.733247776,970.6331819479782,-1.187507260065651e-05,0.051535249749729735
13,10999970.498511054,970.7587999289198,-1.2886317959353921e-05,0.05153696854333184
14,10999970.263931744,970.884416153493,-1.3900959936262245e-05,0.05153871275788765
15,10999970.029515518,971.0100305883258,-1.491904263715551e-05,0.051540481681173055
16,10999969.795257112,971.1356432144613,-1.594055603755544e-05,0.05154227615325346
17,10999969.561162196,971.2612539973294,-1.696554722213984e-05,0.05154409546216434
18,10999969.327225504,971.3868629190293,-1.7994008400494487e-05,0.05154594044801487
19,10999969.093452701,971.5124699437943,-1.90259829238613e-05,0.05154781039909921
