Node Number,Pressure,Enthalpy,CrossFlow,MassFlow
0,10999973.562494647,969.1256384701745,4.220826639047115e-09,0.051516551286971614
1,10999973.3258512,969.251275522443,3.9203406450689124e-09,0.051517974115214034
2,10999973.08935992,969.3769111316963,-4.0967404580657755e-09,0.05151942109547343
3,10999972.853025693,969.5025452729914,-2.056406322395475e-08,0.051520891515494056
4,10999972.616843265,969.6281779222675,-4.491672412899109e-08,0.0515223862191721
5,10999972.38081835,969.7538090533753,-7.789109393850904e-08,0.05152390449443441
6,10999972.144945696,969.8794386433034,-1.1892163960206005e-07,0.05152544718535134
7,10999971.909231009,970.0050666646971,-1.6874857771329865e-07,0.05152701358020255
8,10999971.67366904,970.130693095595,-2.268091084239089e-07,0.05152860452323013
9,10999971.438265502,970.256317907438,-2.938424469475557e-07,0.051530219303077086
10,10999971.203015145,970.3819410793151,-3.6929189070466886e-07,0.05153185876415742
11,10999970.967923673,970.5075625814636,-4.538967742561342e-07,0.051533522195476814
12,10999970.732985841,970.6331823940244,-5.47102022847952e-07,0.051535210441619385
13,10999970.498207353,970.7588004860318,-6.496511952972823e-07,0.051536922791960545
14,10999970.263582956,970.8844168386788,-7.609908534486996e-07,0.05153866009124938
15,10999970.029118363,971.010031419798,-8.818665416893486e-07,0.05154042162923732
16,10999969.794808324,971.1356442116352,-1.011726094372921e-06,0.05154220825084449
17,10999969.56065854,971.2612551808223,-1.151318533558887e-06,0.05154401924619698
18,10999969.32666377,971.3868643106587,-1.3000940964016188e-06,0.05154585546038047
19,10999969.092829712,971.5124715665764,-1.4588045350633582e-06,0.05154771618390421
