Node Number,Pressure,Enthalpy,CrossFlow,MassFlow
0,10999969.867767934,969.1452604297524,0.0022307633498939057,0.02575574716780497
1,10999969.349945014,969.2905270899059,0.0017527866916949,0.02575430000204031
2,10999968.841345944,969.4358022806695,0.002315966538945096,0.025752381379833034
3,10999968.321485361,969.5810844673879,0.0018385038491120754,0.025750843893295294
4,10999967.810837928,969.7263753024275,0.00240206362944623,0.025748834529913587
5,10999967.288923755,969.8716739037301,0.0019251223450938572,0.025747205763370924
6,10999966.776211824,970.016981275234,0.0024890638196525387,0.025745104697486153
7,10999966.252228003,970.162297188133,0.0020126514690444034,0.02574338368144021
8,10999965.737435313,970.3076219973294,0.002576976429501246,0.025741189941419503
9,10999965.211365664,970.4529561279475,0.002101100632972656,0.02573937569596617
10,10999964.694475828,970.5982992852231,0.0026658109035623476,0.025737088299734468
11,10999964.16630405,970.7436525489132,0.00219047937618547,0.02573517983442397
12,10999963.647300547,970.8890149739339,0.0027555768171820677,0.025732797789319282
13,10999963.117010212,971.0343882954012,0.0022807973694595634,0.025730794103010827
14,10999962.595876409,971.1797709172349,0.0028462838709525057,0.025728316405644477
15,10999962.063450962,971.3251652306604,0.0023720644086789016,0.02572621648636421
16,10999961.540170083,971.4705689879024,0.0029379418995244874,0.025723642122470743
17,10999961.005592842,971.6159852370698,0.002464290429400059,0.02572144494725914
18,10999960.480147986,971.7614110779696,0.003030560873327203,0.025718772891546587
19,10999959.94340213,971.9068502163934,0.002557485502023514,0.02571647742630757
