Node Number,Pressure,Enthalpy,CrossFlow,MassFlow
0,10999980.110258404,969.1256384701369,-0.0,0.05151655130241827
1,10999979.873614872,969.251275027486,3.728970853036558e-13,0.05151797110011747
2,10999979.637103682,969.376909650296,-2.9831766197105586e-09,0.05151941149735882
3,10999979.400725596,969.5025423169747,-8.993158310896406e-09,0.051520872428338214
4,10999979.164479846,969.6281730056772,-1.8063877864827954e-08,0.051522354088832
5,10999978.928367656,969.753801694695,-3.0236352643376256e-08,0.051523856376371524
6,10999978.692388132,969.8794283621795,-4.5552345434904266e-08,0.051525379486715435
7,10999978.456542492,970.0050529863059,-6.405212693235666e-08,0.05152692331735738
8,10999978.22082984,970.1306755452231,-8.577373005029958e-08,0.05152848806403545
9,10999977.985251395,970.25629601699,-1.10758916129522e-07,0.051530073624203206
10,10999977.749806266,970.3819143797531,-1.3904720870235152e-07,0.05153168019357827
11,10999977.514495661,970.5075306114563,-1.7068074099521247e-07,0.051533307669571385
12,10999977.279318694,970.6331446902442,-2.0570201867392563e-07,0.05153495624787548
13,10999977.04427657,970.7587565939456,-2.441531738765561e-07,0.05153662582585884
14,10999976.809368407,970.8843663007036,-2.8607559246578615e-07,0.05153831659919193
15,10999976.574595409,971.0099737882331,-3.315128969986304e-07,0.05154002846519649
16,10999976.339956684,971.135579034676,-3.8050759083607224e-07,0.05154176161951528
17,10999976.105453447,971.2611820176332,-4.3310254949090135e-07,0.05154351595942542
18,10999975.871084802,971.3867827152466,-4.893410208463552e-07,0.05154529168054327
19,10999975.636851963,971.5123811050036,-5.49268116449312e-07,0.051547088680097365
