Node Number,Pressure,Enthalpy,CrossFlow,MassFlow
0,12262479.435786983,1100.7189348549182,2.707482077575885e-05,0.3313010733879661
1,12262461.751095306,1100.737869786433,4.690692121091156e-05,0.33130109982950656
2,12262444.068944387,1100.7568047936256,6.03602633138786e-05,0.3313011380785705
3,12262426.389291076,1100.7757398755389,8.045341488606087e-05,0.3313011884631826
4,12262408.712193029,1100.7946750312594,9.41699675985635e-05,0.33130125073732947
5,12262391.037039734,1100.8136102591739,0.000114528505609582,0.33130133152706087
6,12262373.365586814,1100.832545559153,0.00012851264064063888,0.3313014192441203
7,12262355.69552911,1100.8514809292305,0.0001491409724951237,0.33130152556430387
8,12262338.029186133,1100.870416369483,0.00016339713399068104,0.3313016388994054
9,12262320.364252714,1100.8893518777254,0.00018429974045873888,0.33130177092525603
10,12262302.70304835,1100.90828745424,0.0001988324465820677,0.33130191005369586
11,12262285.043267865,1100.9272230966228,0.00022001388274546502,0.3313020679605829
12,12262267.387230735,1100.9461588053623,0.00023482772680891907,0.3313022330577988
13,12262249.732631778,1100.965094577835,0.0002562926233781877,0.3313024170212202
14,12262232.081790427,1100.9840304147363,0.0002147872318937132,0.331302608262765
15,12262214.432401542,1101.002966313223,0.00028917317595989964,0.331302818458274
16,12262196.78678455,1101.0219022741965,0.00024792681702056403,0.33130303601974387
17,12262179.142634258,1101.0408382945955,0.0003225744704738205,0.33130327262301595
18,12262161.50227007,1101.0597743755268,0.0002815914213741172,0.33130351668011443
19,12262143.86338678,1101.0787105137103,0.0003565051649584169,0.3313037798668717
20,12262126.228303768,1101.0976467104597,0.0003157897735464144,0.33130405059533435
21,12262108.594715813,1101.1165829622753,0.000390974060022922,0.33130434054131663
22,12262090.964942267,1101.1355192706767,0.00035053074561345134,0.33130463811688227
23,12262073.336677892,1101.1544556319461,0.0004259901011154656,0.3313049549978175
24,12262055.712242005,1101.1733920478098,0.0003858233558968388,0.3313052795961976
25,12262038.08932936,1101.1923285143305,0.00046156238095300725,0.331305623587771
26,12262020.470259244,1101.211265033441,0.0004216767710145102,0.33130597538461926
27,12262002.852726385,1101.2302016009853,0.0004977001418770954,0.3313063466624426
28,12261985.239050042,1101.2491382191024,0.00045810030847044084,0.33130672583332293
29,12261967.626924923,1101.2680748834182,0.0005344127782532674,0.331307124572902
30,12261950.018670246,1101.2870115962778,0.000495103438863392,0.33130753129325635
31,12261932.411980705,1101.3059483530885,0.0005717098386781091,0.33130795766995846
32,12261914.809175469,1101.3248851564022,0.0005326957884693148,0.33130839211507324
33,12261897.207949217,1101.3438220014077,0.0006096010289608647,0.3313088463040929
34,12261879.610621076,1101.3627588908635,0.0005708871417727262,0.33130930864906455
35,12261862.014885696,1101.3816958197392,0.0006480962142520431,0.33130979082538875
36,12261844.42306216,1101.4006327910004,0.0006096874441356194,0.3313102812450884
37,12261826.832845101,1101.419569799399,0.0006872054216868659,0.3313107915834609
38,12261809.24655355,1101.4385068481063,0.0006491068037075236,0.3313113102524984
39,12261791.661882112,1101.4574439316564,0.0007269388426235843,0.33131184892738336
40,12261774.081149762,1101.4763810534278,0.0006891554948407712,0.3313123960200702
41,12261756.502051087,1101.4953182077359,0.000767306836198227,0.3313129632056142
42,12261738.926904999,1101.514255398166,0.0007298439604871714,0.331313538895925
43,12261721.353406062,1101.5331926188153,0.0008083199311059821,0.3313141347659184
44,12261703.783873131,1101.5521298734761,0.0007711828147080676,0.3313147392274523
45,12261686.21600074,1101.571067156028,0.0008499888288638042,0.33131536395529
46,12261668.652107676,1101.5900044704701,0.0008131828455806167,0.33131599736123013
47,12261651.089888446,1101.608941810464,0.0008923244062191733,0.3313166511198707
48,12261633.531661773,1101.627879180216,0.0008558550180284301,0.33131731364294326
49,12261615.97512213,1101.6468165731696,0.000935337718025591,0.331317996604867
50,12261598.422588175,1101.6657539937385,0.0008992104762226643,0.33131868841729895
51,12261580.871754339,1101.6846914351486,0.0009790400001601141,0.33131940075446553
52,12261563.324939212,1101.7036289020202,0.0009432605470155887,0.3313201220279411
53,12261545.779837197,1101.7225663873623,0.0010234426724827466,0.3313208639117456
54,12261528.238766804,1101.7415038960025,0.000988016742590477,0.3313216148173625
55,12261510.699422393,1101.760441420732,0.001068557341790343,0.33132238641859063
56,12261493.164122395,1101.779378966586,0.001033490763554007,0.331323167126814
57,12261475.63056114,1101.7983165261383,0.0011143958044110924,0.33132396861559577
58,12261458.101056963,1101.8172541046317,0.0010796945015276523,0.3313247792962117
59,12261440.573304156,1101.8361916944227,0.001160970049689304,0.3313256108419741
60,12261423.04962098,1101.8551293009618,0.001126640042652834,0.33132645166404184
61,12261405.527701678,1101.8740669163885,0.001208292262850949,0.331327313435461
62,12261388.009864409,1101.8930045463605,0.0011743396705946553,0.3313281845672641
63,12261370.493803378,1101.9119421828009,0.001256374828145931,0.33132907673221507
64,12261352.981836656,1101.9308798315753,0.001222805869397758,0.3313299783412109
65,12261335.471658401,1101.9498174843895,0.0013052303318895361,0.3313309010667175
66,12261317.965586575,1101.9687551473176,0.0012720513269251468,0.3313318333194863
67,12261300.461315291,1101.9876928118483,0.0013548715660159783,0.3313327867716683
68,12261282.961162407,1102.0066304842637,0.0013220889382194137,0.3313337498338597
69,12261265.462821992,1102.0255681558367,0.001405311530776058,0.33133473417787995
70,12261247.968611794,1102.044505833057,0.001372931808361711,0.33133572821416
71,12261230.476225825,1102.0634435069808,0.0014565634387953721,0.3313367436141699
72,12261212.987981724,1102.0823811843068,0.0014245932563138235,0.331337768788165
73,12261195.50157345,1102.1013188558748,0.0015086407176394885,0.33133881540724847
74,12261178.019318521,1102.120256528592,0.00147708681769157,0.33133987188148906
75,12261160.538910842,1102.1391941930822,0.001561557013715577,0.331340949881605
76,12261143.062667811,1102.1581318564606,0.0015304262488273182,0.33134203781746774
77,12261125.588283272,1102.177069509136,0.0016153261957180458,0.33134314735939185
78,12261108.118074493,1102.196007158432,0.0015846255298812202,0.33134426691704
79,12261090.649735264,1102.2149447945415,0.0016699623580424153,0.33134540816030433
80,12261073.185582722,1102.233882424997,0.0016396988685336068,0.33134655949862746
81,12261055.723310586,1102.2528200397765,0.0017254798242142945,0.33134773260145933
82,12261038.26523586,1102.2717576466212,0.001695660703456547,0.3313489158780105
83,12261020.809052201,1102.2906952352932,0.0017818931508519094,0.33135012099726935
84,12261003.357076468,1102.309632813744,0.0017525257082009005,0.3313513363682021
85,12260985.907002253,1102.3285703715198,0.0018392171309829404,0.331352573659315
86,12260968.461146267,1102.3475079167815,0.0018103087944375486,0.3313538212793179
87,12260951.017202029,1102.366445438861,0.0018974667978943144,0.331355090896214
88,12260933.577486096,1102.3853829461284,0.001869025116108649,0.3313563709184439
89,12260916.139691925,1102.4043204277004,0.0019566574289722936,0.3313576730134868
90,12260898.706135906,1102.4232578921574,0.0019286900732153483,0.331358985589501
91,12260881.274511421,1102.4421953284018,0.0020168045498390372,0.3313603203134199
92,12260863.847134704,1102.4611327452235,0.0019893193158074937,0.3313616655931062
93,12260846.421699047,1102.480070131311,0.0020779239375829216,0.3313630330949252
94,12260829.000520522,1102.4990074956638,0.0020509287473263063,0.33136441122643046
95,12260811.581292339,1102.5179448267565,0.00214003162510985,0.33136581165339646
96,12260794.166330399,1102.536882133799,0.002113534529044232,0.3313672227830537
97,12260776.753327826,1102.5558194050523,0.002203143905365577,0.3313686562805629
98,12260759.344600337,1102.5747566499367,0.002177153084446346,0.33137010055281674
99,12260741.937840972,1102.5936938564998,0.0022672773350515337,0.33137156726433853
100,12260724.535365257,1102.6126310343723,0.0022418011026571786,0.3313730448216687
101,12260707.13486615,1102.6315681713886,0.002332448738894659,0.33137454488866885
102,12260689.738658981,1102.6505052773905,0.002307495542751375,0.3313760558715123
103,12260672.344436614,1102.669442339999,0.002398675213904999,0.33137758943337414
104,12260654.954514178,1102.6883793692673,0.0023742536385940745,0.331379133980045
105,12260637.566584442,1102.7073163526038,0.0024659741333142556,0.3313807011739883
106,12260620.182962336,1102.726253300273,0.002442092902089118,0.3313822794205965
107,12260602.801340522,1102.7451901994705,0.002534363151562034,0.3313838803815955
108,12260585.424033718,1102.7641270606725,0.0025110311284883345,0.33138549246196314
109,12260568.048734484,1102.7830638708633,0.00260386020787789,0.3313871273226616
110,12260550.67775732,1102.8020006407303,0.0025810864003670973,0.3313887733682378
111,12260533.308794683,1102.8209373570453,0.0026744835314051387,0.33139044225886316
112,12260515.944160845,1102.8398740307084,0.0026522770921750044,0.33139212239863686
113,12260498.581548149,1102.85881064828,0.0027462516454381416,0.33139382544691215
114,12260481.22327064,1102.8777472208724,0.0027246218747954774,0.33139553980732317
115,12260463.86702055,1102.8966837348346,0.002819183371809748,0.33139727713837697
116,12260446.515111675,1102.9156202014915,0.0027981397200195577,0.3313990258432249
117,12260429.165236132,1102.9345566069815,0.002893297836064673,0.33140079757949903
118,12260411.819707477,1102.953492962842,0.0028728499056639447,0.33140258074985
119,12260394.476217704,1102.9724292550006,0.002968614471627129,0.33140438701100594
120,12260377.137080107,1102.9913654952086,0.00294877201970663,0.33140620476509813
121,12260359.79998656,1103.0103016691835,0.0030451530248240695,0.3314080456679205
122,12260342.467250103,1103.029237788889,0.0030259259656313354,0.3314098981210665
123,12260325.136562467,1103.0481738398335,0.003122933559914994,0.3314117737793655
124,12260307.81023643,1103.0671098341943,0.003104331967094806,0.33141366104385345
125,12260290.485963589,1103.08604575727,0.0032019764636800597,0.331415571568364
126,12260273.166056443,1103.1049816214525,0.0031840105727177306,0.33141749375335616
127,12260255.848206459,1103.1239174118307,0.0032823024507206084,0.33141943925163614
128,12260238.534725845,1103.1428531410113,0.0032649826617055177,0.33142139646306573
129,12260221.223305918,1103.1617887938742,0.003363932568269673,0.33142337703939106
130,12260203.916258601,1103.1807243832407,0.003347269448083398,0.33142536937985617
131,12260186.611275066,1103.1996598937826,0.0034468882014308936,0.3314273851351142
132,12260169.31066693,1103.218595338536,0.003430892486702633,0.33142941270377013
133,12260152.012125218,1103.2375307019652,0.003531191078562361,0.3314314637353504
134,12260134.717961235,1103.2564659973211,0.003515873677883367,0.33143352662779946
135,12260117.425865846,1103.2754012088606,0.003616863276309966,0.3314356130294825
136,12260100.138150042,1103.2943363500503,0.0036022352733559126,0.33143771133766153
137,12260082.852504523,1103.3132714049405,0.003703927225279117,0.3314398331995052
138,12260065.571239956,1103.3322063872133,0.0036899998810730394,0.3314419670115706
139,12260048.292046875,1103.3511412807125,0.0037924057151190044,0.33144412441979404
