Node Number,Pressure,Enthalpy,CrossFlow,MassFlow
0,12262479.52648914,1100.7247946164475,-5.620354806660088e-06,0.5016981400437723
1,12262460.87067228,1100.7495892176437,-2.0368808939807144e-05,0.5016981527789045
2,12262442.214697955,1100.7743838036886,-3.4119228016220335e-05,0.5016981636355082
3,12262423.558498086,1100.799178374647,-4.898525351878513e-05,0.5016981732497992
4,12262404.902148893,1100.8239729306183,-6.285365159397298e-05,0.5016981810525791
5,12262386.245582372,1100.8487674716614,-7.78380638546846e-05,0.50169818767572
6,12262367.588874219,1100.8735619978745,-9.182525762025995e-05,0.5016981925607534
7,12262348.931957712,1100.8983565093092,-0.00010692887461431568,0.5016981963352599
8,12262330.274908027,1100.9231510060633,-0.00012103568362414871,0.5016981984414818
9,12262311.617658524,1100.9479454881825,-0.0001362593259984775,0.5016981995077148
10,12262292.960284464,1100.9727399557628,-0.0001504865721260469,0.5016981989769229
11,12262274.30271928,1100.997534408843,-0.0001658310629843048,0.5016981974781282
12,12262255.645038322,1101.0223288475186,-0.0001801795707264677,0.5016981944550272
13,12262236.9871751,1101.0471232718219,-0.0001956457353594847,0.5016981905373792
14,12262218.329205047,1101.0719176818466,-0.0002101163312120314,0.5016981851696247
15,12262199.671061767,1101.0967120776183,-0.0002257050738749203,0.501698178982485
16,12262181.012820797,1101.12150645923,-0.0002402985878652418,0.501698171420946
17,12262162.354415799,1101.1463008266999,-0.00025601066301653565,0.501698163116489
18,12262143.695922393,1101.1710951801197,-0.0002707279263862301,0.5016981535148669
19,12262125.037274333,1101.1958895195007,-0.00028656416617270245,0.5016981432483331
20,12262106.378547324,1101.220683844933,-0.0003014060123369652,0.5016981317634192
21,12262087.719675206,1101.2454781564213,-0.0003173672511070016,0.501698119693162
22,12262069.060733778,1101.2702724540538,-0.00033233451560375223,0.5016981064848841
23,12262050.401656965,1101.2950667378282,-0.00034842158941966256,0.5016980927724178
24,12262031.742520655,1101.319861007831,-0.0003635151092580811,0.5016980780038883
25,12262013.08325887,1101.3446552640526,-0.0003797288563094423,0.5016980628139357
26,12261994.423947584,1101.369449506578,-0.0003949494707928839,0.5016980466515004
27,12261975.764520906,1101.39424373539,-0.00041129073093627415,0.5016980301520423
28,12261957.105054908,1101.4190379505721,-0.0004266392807652014,0.5016980127653292
29,12261938.445483793,1101.4438321520997,-0.00044310889525510356,0.5016979951276533
