Node Number,Pressure,Enthalpy,CrossFlow,MassFlow
0,12262479.432938198,1100.7189348550041,4.009355815100895e-06,0.3313010718820836
1,12262461.747955447,1100.7378697868862,4.020998745309333e-06,0.33130109579995287
2,12262444.065225946,1100.7568047947589,3.936793543279026e-06,0.3313011311374704
3,12262426.384841211,1100.7757398777703,3.833934503782607e-06,0.3313011775743986
4,12262408.706720257,1100.7946750350166,3.633776553275994e-06,0.3313012354944782
5,12262391.030954558,1100.813610265654,3.4135008504714004e-06,0.33130130457734575
6,12262373.357463086,1100.8325455687623,3.0944472371866442e-06,0.3313013852066115
7,12262355.686337287,1100.8514809435055,2.75378335111939e-06,0.3313014770617773
8,12262338.017496098,1100.8704163889465,2.31283399339971e-06,0.3313015805263148
9,12262320.351030916,1100.8893519042579,1.8487525537229582e-06,0.33130169527958214
10,12262302.68686064,1100.908287488486,1.2828489307284166e-06,0.33130182170490324
11,12262285.02507663,1100.927223140811,6.922616439575055e-07,0.33130195948148344
12,12262267.365597734,1100.946158860264,-1.7141255355114437e-09,0.3313021089924901
13,12262249.708515268,1100.9650946460326,-7.219621439939946e-07,0.3313022699169626
14,12262232.053748036,1100.9840304971265,-1.5471988672634152e-06,0.33130244266199965
15,12262214.40139254,1101.002966412751,-2.4007944652224504e-06,0.3313026268584984
16,12262196.751357133,1101.0219023918944,-3.3605352113858063e-06,0.3313028229372825
17,12262179.10374345,1101.040838433772,-4.3502822535309935e-06,0.3313030305290672
18,12262161.458459789,1101.0597745373552,-5.447833674673881e-06,0.33130325006449324
19,12262143.815607738,1101.0787107018687,-6.57707123277609e-06,0.33130348117408337
20,12262126.175095543,1101.0976469262662,-7.815804429241923e-06,0.33130372428828586
21,12262108.537024748,1101.1165832097824,-9.087936468778475e-06,0.3313039790374204
22,12262090.901303545,1101.1355195513545,-1.0471287956226621e-05,0.3313042458517326
23,12262073.268033408,1101.154455950226,-1.188978462774736e-05,0.33130452436132823
24,12262055.637122478,1101.1733924053176,-1.3421257952857914e-05,0.3313048149962395
25,12262038.008672189,1101.192328915883,-1.4989656758384635e-05,0.3313051173863473
26,12262020.382590614,1101.211265480826,-1.6672823365716487e-05,0.3313054319614601
27,12262002.758979127,1101.2302020994093,-1.8394730474679443e-05,0.33130575835122256
28,12261985.137745732,1101.2491387705206,-2.0233231172255713e-05,0.33130609698520797
29,12261967.51899175,1101.2680754934331,-2.2112322936870744e-05,0.33130644749281285
30,12261949.902625129,1101.2870122670172,-2.4109868837507615e-05,0.3313068103033648
31,12261932.288747119,1101.3059490905564,-2.6149892309751587e-05,0.3313071850460004
32,12261914.6772656,1101.3248859629045,-2.8310266495880127e-05,0.3313075721497895
33,12261897.068281757,1101.3438228833556,-3.05150415164244e-05,0.3313079712435966
34,12261879.461703407,1101.3627598507471,-3.2842100055872646e-05,0.33130838275622254
35,12261861.857631665,1101.381696864383,-3.521551999523777e-05,0.33130880631624693
36,12261844.255974272,1101.4006339230846,-3.771319355571977e-05,0.3313092423521892
37,12261826.656832274,1101.4195710261665,-4.025922712827577e-05,0.33130969049233155
38,12261809.060113339,1101.4385081724336,-4.293152214247465e-05,0.3313101511648996
39,12261791.46591844,1101.457445361211,-4.565421447157639e-05,0.33131062399786493
40,12261773.874155171,1101.4763825912885,-4.8505214401828225e-05,0.33131110941914704
41,12261756.284924429,1101.4953198620012,-5.140868833427765e-05,0.33131160705639345
42,12261738.69813372,1101.5142571721228,-5.4442555336305477e-05,0.3313121173372043
