Node Number,Pressure,Enthalpy,CrossFlow,MassFlow
0,12262478.245681306,1100.722511544012,-1.6005635712343962e-05,0.2786631496934637
1,12262459.808773581,1100.7450229298909,-2.3206752179574286e-05,0.27866310280216855
2,12262441.368280869,1100.767534158966,-3.226563831681982e-05,0.2786630450835186
3,12262422.925293533,1100.790045233226,-3.959029911808898e-05,0.2786629715172798
4,12262404.478664376,1100.8125561538682,-4.877353030129466e-05,0.2786628868587263
5,12262386.029483305,1100.8350669230792,-5.62233416516932e-05,0.2786627860895284
6,12262367.576603597,1100.857577541927,-6.553253399575597e-05,0.2786626739547567
7,12262349.121112853,1100.8800880127976,-7.310912204439088e-05,0.27866254543790564
8,12262330.661864808,1100.9025983366284,-8.25459120214158e-05,0.2786624052818483
9,12262312.199946601,1100.9251085160056,-9.025092347220266e-05,0.27866224846787296
10,12262293.734211484,1100.947618551737,-9.981696798325878e-05,0.27866207973661994
11,12262275.265746126,1100.9701284466096,-0.00010765207001691431,0.2786618940671379
12,12262256.793403316,1100.9926382013025,-0.00011734904663842773,0.2786616961977993
13,12262238.318269229,1101.0151478188036,-0.0001253159270839655,0.2786614811053795
14,12262219.839196172,1101.037657299714,-0.00013519349143122146,0.2786612533864682
15,12262201.357237719,1101.0601666471366,-0.00014324675309894687,0.27866100829284285
16,12262182.87130947,1101.082675861588,-0.0001532587278036869,0.2786607502807848
17,12262164.382432792,1101.105184946363,-0.00016144727070602365,0.27866047459972115
18,12262145.889522789,1101.1276939018617,-0.00017159540511080439,0.27866018570354395
19,12262127.393600322,1101.1502027315714,-0.0001799209894052044,0.27865987883929455
20,12262108.893579988,1101.1727114357782,-0.00019020705501203463,0.2786595584584373
21,12262090.390482128,1101.1952200181615,-0.00019867146311290516,0.2786592198055918
22,12262071.883220837,1101.2177284788925,-0.00020909725367963822,0.2786588673297558
23,12262053.37281592,1101.2402368218447,-0.00021770229045452115,0.27865849627309064
24,12262034.858180951,1101.2627450470761,-0.00022826962211615242,0.2786581110820879
25,12262016.340335209,1101.2852531586545,-0.00023701711505689883,0.2786577069964133
26,12261997.818191737,1101.3077611565245,-0.00024772782707068987,0.2786572884600122
27,12261979.292769266,1101.330269044949,-0.0002566196267640421,0.27865685071001706
28,12261960.76298031,1101.352776823761,-0.00026747558135620795,0.2786563981877862
29,12261942.22984305,1101.3752844974185,-0.0002765135614302755,0.2786559261278806
30,12261923.692269456,1101.3977920656432,-0.0002875166442914551,0.27865543896903006
31,12261905.151277138,1101.4202995330907,-0.00029670270216070006,0.27865493194318497
32,12261886.605777517,1101.4428068993705,-0.00030785482266686723,0.27865440948640446
33,12261868.056787644,1101.465314169336,-0.0003171908794535221,0.27865386682798904
34,12261849.50321838,1101.4878213424872,-0.00032849397098666793,0.2786533084012847
35,12261830.946086194,1101.5103284238753,-0.00033798197214084195,0.2786527294329018
36,12261812.384301377,1101.5328354128915,-0.0003494379924096043,0.27865213435342956
37,12261793.818879815,1101.5553423147855,-0.00035907990755573813,0.27865151838674757
38,12261775.248731218,1101.5778491288402,-0.0003706908386414805,0.2786508859606443
39,12261756.674870875,1101.6003558605053,-0.00038048866227321636,0.2786502322962271
40,12261738.096207911,1101.6228625089557,-0.0003922565114496533,0.27864956181843886
41,12261719.51375701,1101.6453690798417,-0.0004022122632004187,0.2786488697455727
42,12261700.926426714,1101.6678755722317,-0.00041413906275500063,0.27864816049968066
43,12261682.335231079,1101.6903819919778,-0.0004242547873940475,0.27864742929619885
44,12261663.73907804,1101.7128883380421,-0.00043634259519794046,0.27864668055424224
45,12261645.138981035,1101.7353946164787,-0.0004466203633500164,0.2786459094863465
46,12261626.533847384,1101.757900826145,-0.0004588712629788492,0.27864512050864254
47,12261607.924689893,1101.7804069732983,-0.000469313171195001,0.2786443088307217
48,12261589.310415272,1101.8029130566915,-0.0004817292725736084,0.2786434788656837
49,12261570.692035656,1101.825419082786,-0.0004923374435516685,0.2786426258201304
50,12261552.068457143,1101.8479250502314,-0.0005049208828501551,0.27864175410408165
51,12261533.440691212,1101.8704309656941,-0.0005156974660294975,0.278640858921105
52,12261514.807643313,1101.8929368277209,-0.0005284504063577958,0.2786399446780913
53,12261496.170324264,1101.9154426431844,-0.0005393975780898167,0.27863900657552715
54,12261477.527638866,1101.93794841053,-0.0005523222094934798,0.27863804901712463
55,12261458.88059725,1101.9604541368365,-0.0005634421735613993,0.2786370672002427
56,12261440.228103574,1101.9829598204492,-0.0005765407136911114,0.2786360655253641
57,12261421.571167283,1102.0054654686546,-0.0005878357012807357,0.2786350391866727
58,12261402.908691851,1102.0279710796985,-0.000601110395537744,0.2786339925813702
59,12261384.24168603,1102.050476661076,-0.0006125826659069023,0.27863292090041714
60,12261365.56905262,1102.0729822109336,-0.0006260357877880385,0.27863182853768187
61,12261346.89179966,1102.0954877369766,-0.000637687628386988,0.2786307106808523
62,12261328.208829267,1102.1179932372538,-0.0006513214799294662,0.2786295717204108
63,12261309.521148749,1102.1404987196804,-0.0006631552068955675,0.27862840684072265
64,12261290.827659532,1102.1630041822095,-0.0006769721188222958,0.27862722042883015
65,12261272.129368186,1102.1855096329678,-0.000688990077275018,0.2786260076657254
66,12261253.425175436,1102.2080150698123,-0.0007029924095890411,0.27862477293495597
67,12261234.716087103,1102.2305205010825,-0.0007151969740996041,0.2786235114140894
68,12261216.001003204,1102.2530259245407,-0.0007293871162792466,0.27862222748312326
69,12261197.280928781,1102.2755313487403,-0.0007417806909409739,0.27862091631614794
70,12261178.554763129,1102.2980367713499,-0.0007561610623844917,0.278619582289554
71,12261159.823510531,1102.3205422011374,-0.0007687460815319165,0.27861822057390223
72,12261141.086069535,1102.3430476356793,-0.000783319131827436,0.27861683554191896
73,12261122.343443645,1102.3655530839592,-0.0007960980600566852,0.27861542236058107
74,12261103.594530659,1102.3880585434626,-0.0008108662694766947,0.27861398539889265
75,12261084.840333283,1102.4105640233895,-0.0008238416022896711,0.27861251982019203
76,12261066.079748558,1102.433069521135,-0.0008388074821607135,0.2786110299897018
77,12261047.313778378,1102.4555750461172,-0.0008519817462848588,0.27860951106706605
78,12261028.541319015,1102.4780805956423,-0.0008671478391326261,0.2786079674136659
79,12261009.763371538,1102.5005861793475,-0.0008805235927907579,0.2786063941853946
80,12260990.978831438,1102.5230917944507,-0.0008958924731339333,0.2786047957397308
81,12260972.188698955,1102.5455974508097,-0.0009094723065386267,0.2786031672287598
82,12260953.391868783,1102.5681031455558,-0.0009250465809091708,0.2786015130059956
83,12260934.589340309,1102.5906088887682,-0.0009388331166323657,0.2785998282196572
84,12260915.780007428,1102.6131146774921,-0.0009546154240698856,0.2785981172192312
85,12260896.96486866,1102.6356205220295,-0.0009686113173875168,0.27859637514901103
86,12260878.142817084,1102.6581264193417,-0.0009846043299336193,0.2785946063543919
87,12260859.314850343,1102.680632379954,-0.0009988122692700452,0.2785928059756816
88,12260840.479860695,1102.703138400745,-0.0010150186922880076,0.2785909783541191
89,12260821.638844892,1102.7256444924649,-0.0010294413994109102,0.27858911862596547
90,12260802.790694337,1102.7481506519102,-0.0010458639720301087,0.2785872311282375
91,12260783.936404886,1102.7706568900578,-0.0010605042032185005,0.27858531099308737
92,12260765.074867092,1102.7931632036234,-0.001077145698728915,0.27858336255324273
93,12260746.207075888,1102.8156696038116,-0.0010920062440198616,0.2785813809366839
94,12260727.331920963,1102.8381760872587,-0.0011088694703414526,0.2785793704717814
95,12260708.450396312,1102.8606826653981,-0.001123953154673125,0.2785773262822797
96,12260689.561390745,1102.8831893347885,-0.0011410409545756846,0.27857525269212285
97,12260670.665897314,1102.9056961070933,-0.0011563506384064206,0.27857314482075446
98,12260651.76280394,1102.9282029787948,-0.0011736658902035066,0.2785710069876223
