Node,Pressure,Enthalpy,Mass Flow Rate,CrossFlow
1,12262496.265933994,1100.70493906788,0.2508490629465548,-7.044637832039422e-07
2,12262492.550153697,1100.709878133609,0.25084906283216646,-1.520010564010119e-06
3,12262488.834358813,1100.714817197188,0.2508490626666877,-2.1655593265338376e-06
4,12262485.118551705,1100.7197562586189,0.2508490624402411,-2.981541360966271e-06
5,12262481.402730012,1100.7246953179026,0.25084906216267927,-3.6275255054488865e-06
6,12262477.686896093,1100.7296343750406,0.25084906182412486,-4.443943007253539e-06
7,12262473.971047582,1100.7345734300345,0.25084906143443053,-5.0903627108059265e-06
8,12262470.25518684,1100.7395124828856,0.25084906098371884,-5.907215909534639e-06
9,12262466.539311506,1100.7444515335953,0.2508490604818425,-6.554071428268601e-06
10,12262462.823423937,1100.7493905821648,0.2508490599189241,-7.371360537681652e-06
11,12262459.10752177,1100.7543296285953,0.25084905930481627,-8.018652059255142e-06
12,12262455.39160737,1100.7592686728888,0.25084905862964163,-8.836377282587494e-06
13,12262451.675678367,1100.764207715046,0.25084905790325285,-9.484105020996986e-06
14,12262447.959737128,1100.769146755069,0.2508490571157725,-1.0302266572023274e-05
15,12262444.243781283,1100.7740857929584,0.2508490562770532,-1.0950430736006325e-05
16,12262440.5278132,1100.7790248287165,0.2508490553772175,-1.1769028817975889e-05
17,12262436.81183051,1100.7839638623439,0.2508490544261182,-1.241762965314108e-05
18,12262433.09583558,1100.7889028938425,0.2508490534138778,-1.3236664500907929e-05
19,12262429.379826035,1100.7938419232132,0.25084905235034893,-1.3885702205475006e-05
20,12262425.663804244,1100.7987809504577,0.2508490512256542,-1.4705174027569135e-05
21,12262421.947767846,1100.803719975577,0.25084905004964625,-1.5354648783966474e-05
22,12262418.231719194,1100.8086589985733,0.25084904881244763,-1.6174557762593874e-05
23,12262414.515655931,1100.8135980194472,0.2508490475239111,-1.682446982171837e-05
24,12262410.79958041,1100.8185370382005,0.25084904617415904,-1.7644816212819692e-05
25,12262407.083490277,1100.8234760548341,0.25084904477304426,-1.8295165762380696e-05
26,12262403.367387883,1100.82841506935,0.25084904331068925,-1.911594976397515e-05
27,12262399.651270874,1100.8333540817493,0.25084904179694667,-1.976673703381935e-05
