Node,Pressure,Enthalpy,Mass Flow Rate,CrossFlow
1,12262495.975518899,1100.7068974023366,0.09057630085887344,1.8157549670049868e-08
2,12262492.006460324,1100.7137947914882,0.09057630054178033,1.8166674105137374e-08
3,12262488.037308402,1100.7206921674624,0.09057630011075841,1.8176436835266174e-08
4,12262484.068096066,1100.727589530271,0.09057629950368656,1.8185573473955768e-08
5,12262480.09879036,1100.7344868799223,0.09057629878260254,1.8195348432709762e-08
6,12262476.12942422,1100.7413842164274,0.09057629788538515,1.8204491196337416e-08
7,12262472.159964696,1100.7482815397955,0.09057629687407216,1.821427230507863e-08
8,12262468.19044471,1100.7551788500368,0.09057629568654237,1.822342727271378e-08
9,12262464.220831314,1100.762076147161,0.0905762943848335,1.823321453167127e-08
10,12262460.251157442,1100.768973431178,0.09057629290682437,1.8242369545783662e-08
11,12262456.281390134,1100.7758707020978,0.09057629131455266,1.8252162955186547e-08
12,12262452.311562328,1100.7827679599297,0.09057628954589718,1.8261324094846383e-08
13,12262448.34164107,1100.7896652046845,0.09057628766289559,1.8271123654924348e-08
14,12262444.371659292,1100.7965624363712,0.09057628560342666,1.828029092033552e-08
15,12262440.40158404,1100.803459655001,0.09057628342952807,1.829010271018608e-08
16,12262436.43144825,1100.810356860582,0.09057628107907857,1.8299282180420742e-08
17,12262432.46121896,1100.817254053126,0.0905762786141158,1.8309100121407556e-08
18,12262428.490929108,1100.8241512326408,0.0905762759725185,1.8318285717803166e-08
19,12262424.520545738,1100.8310483991388,0.09057627321632429,1.8328109810157228e-08
20,12262420.550101781,1100.8379455526272,0.09057627028341189,1.83373076117872e-08
21,12262416.57956429,1100.8448426931188,0.09057626723581892,1.8347137855740313e-08
22,12262412.60896619,1100.8517398206207,0.09057626401142409,1.8356341783942312e-08
23,12262408.638274534,1100.8586369351456,0.09057626067226496,1.836618425859522e-08
24,12262404.66752225,1100.8655340367002,0.09057625715622024,1.8375394313575664e-08
25,12262400.696676383,1100.8724311252981,0.0905762535253275,1.8385242940292218e-08
26,12262396.72576987,1100.879328200945,0.09057624971746542,1.8394459122257506e-08
27,12262392.754769757,1100.886225263656,0.09057624579467154,1.8404313901270423e-08
28,12262388.783708973,1100.8931223134352,0.09057624169482452,1.8413536210427336e-08
29,12262384.81255457,1100.9000193502984,0.09057623747996188,1.842339714196975e-08
30,12262380.841339473,1100.90691637425,0.09057623308796228,1.843263165739614e-08
31,12262376.870030733,1100.913813385305,0.09057622858086323,1.8442498741702164e-08
32,12262372.898661276,1100.9207103834683,0.09057622389654335,1.8451739384735515e-08
33,12262368.927198159,1100.9276073687554,0.09057621909704014,1.8461618700910732e-08
34,12262364.955674304,1100.93450434117,0.09057621412023222,1.8470865471759686e-08
35,12262360.984056767,1100.9414013007288,0.09057620902815704,1.8480744862295332e-08
36,12262357.01237847,1100.9482982474346,0.09057620375869321,1.8489997761167637e-08
37,12262353.040606467,1100.955195181305,0.09057619837387818,1.8499889384043036e-08
38,12262349.068773685,1100.9620921023422,0.09057619281159053,1.850914841114819e-08
39,12262345.096847175,1100.9689890105637,0.09057618713386768,1.851905226660004e-08
40,12262341.124859871,1100.9758859059718,0.09057618127858824,1.8528317422148003e-08
41,12262337.152778817,1100.9827827885847,0.09057617530778958,1.8538221352664627e-08
42,12262333.180636942,1100.9896796584037,0.0905761691593503,1.854749871573911e-08
43,12262329.208401298,1100.9965765154477,0.09057616289530772,1.8557414879306347e-08
44,12262325.236104812,1101.0034733597174,0.09057615645354045,1.8566698371244158e-08
45,12262321.263714531,1101.0103701912324,0.0905761498960858,1.8576620689224164e-08
46,12262317.29126339,1101.0172670099926,0.09057614316082235,1.8585916389112333e-08
47,12262313.318718435,1101.0241638160182,0.0905761363097874,1.8595844861743e-08
48,12262309.346112598,1101.0310606093092,0.09057612928085952,1.8605146690916785e-08
49,12262305.373412928,1101.0379573898856,0.09057612213607598,1.861508131843559e-08
