Node,Pressure,Enthalpy,Mass Flow Rate,CrossFlow
1,12262496.269086761,1100.7049390678792,0.5016981259916561,-5.240647601376262e-07
2,12262492.552526822,1100.709878135179,0.5016981259695191,-1.1351639925163866e-06
3,12262488.835965231,1100.7148172018997,0.5016981259342295,-1.64779973701066e-06
4,12262485.119402066,1100.7197562680412,0.501698125885167,-2.259083147481655e-06
5,12262481.40283726,1100.724695333604,0.5016981258229722,-2.7719030818384035e-06
6,12262477.68627088,1100.7296343985881,0.5016981257470249,-3.383370671861158e-06
7,12262473.969702855,1100.7345734629937,0.5016981256579655,-3.896374797637314e-06
8,12262470.25313326,1100.7395125268208,0.5016981255551738,-4.508026601304475e-06
9,12262466.536562024,1100.7444515900697,0.5016981254392903,-5.021214952690123e-06
10,12262462.819989221,1100.7493906527402,0.5016981253096949,-5.63305099865765e-06
11,12262459.103414781,1100.754329714833,0.501698125167028,-6.146423598967681e-06
12,12262455.386838779,1100.7592687763474,0.5016981250106697,-6.758443899577765e-06
13,12262451.670261139,1100.7642078372844,0.5016981248412601,-7.272000783006052e-06
14,12262447.953681938,1100.7691468976439,0.5016981246581793,-7.884205361479833e-06
15,12262444.237101104,1100.7740859574255,0.5016981244620677,-8.397946524152337e-06
16,12262440.520518716,1100.77902501663,0.5016981242523053,-9.010335403712825e-06
17,12262436.803934699,1100.783964075257,0.5016981240295324,-9.524260874388664e-06
18,12262433.087349124,1100.788903133307,0.501698123793129,-1.0136834061945085e-05
19,12262429.37076192,1100.7938421907802,0.5016981235437354,-1.0650943869385277e-05
20,12262425.654173162,1100.7987812476763,0.5016981232807318,-1.1263701426234184e-05
21,12262421.937582783,1100.8037203039958,0.5016981230047585,-1.1777995582886005e-05
22,12262418.220990855,1100.8086593597388,0.5016981227151954,-1.239093749418619e-05
23,12262414.504397305,1100.8135984149053,0.501698122412683,-1.290541602881446e-05
24,12262410.787802206,1100.8185374694956,0.5016981220966013,-1.3518542339550561e-05
25,12262407.07120549,1100.8234765235097,0.5016981217675907,-1.403320528636054e-05
26,12262403.354607232,1100.8284155769477,0.5016981214250311,-1.4646516003449267e-05
27,12262399.638007356,1100.8333546298097,0.5016981210695631,-1.5161363364016852e-05
28,12262395.921405936,1100.838293682096,0.5016981207005666,-1.5774858516130953e-05
29,12262392.204802902,1100.8432327338064,0.5016981203186821,-1.628989031378812e-05
30,12262388.48819833,1100.8481717849418,0.5016981199232896,-1.6903569913286594e-05
31,12262384.771592153,1100.8531108355014,0.5016981195150294,-1.741878619312138e-05
32,12262381.054984437,1100.858049885486,0.5016981190932817,-1.8032650279557828e-05
33,12262377.338375112,1100.8629889348952,0.5016981186586869,-1.854805102683622e-05
34,12262373.621764256,1100.8679279837295,0.5016981182106249,-1.9162099612573365e-05
35,12262369.905151792,1100.872867031989,0.5016981177497364,-1.9677684894141395e-05
36,12262366.188537803,1100.8778060796737,0.5016981172754011,-2.0291917980666775e-05
37,12262362.47192221,1100.882745126784,0.5016981167882598,-2.0807687798109868e-05
38,12262358.755305087,1100.8876841733197,0.5016981162876923,-2.142210544129833e-05
39,12262355.038686365,1100.8926232192812,0.5016981157743392,-2.1938059812519438e-05
40,12262351.322066117,1100.8975622646685,0.5016981152475805,-2.2552662024739357e-05
41,12262347.605444277,1100.9025013094817,0.5016981147080566,-2.3068800962204812e-05
42,12262343.888820913,1100.9074403537209,0.5016981141551476,-2.3683587761264962e-05
43,12262340.172195954,1100.9123793973863,0.5016981135894941,-2.419991131551282e-05
44,12262336.455569478,1100.917318440478,0.5016981130104761,-2.4814882708346795e-05
45,12262332.738941412,1100.9222574829962,0.501698112418734,-2.5331390880970093e-05
46,12262329.02231183,1100.927196524941,0.5016981118136479,-2.594654690714463e-05
47,12262325.305680659,1100.9321355663124,0.5016981111958583,-2.646323971605399e-05
48,12262321.589047974,1100.9370746071108,0.5016981105647453,-2.7078580409699134e-05
49,12262317.8724137,1100.9420136473361,0.5016981099209494,-2.7595457883684194e-05
50,12262314.155777922,1100.9469526869887,0.5016981092638507,-2.8210983251739173e-05
51,12262310.439140558,1100.9518917260682,0.5016981085940896,-2.8728045408714336e-05
52,12262306.722501691,1100.9568307645754,0.5016981079110463,-2.9343755468997368e-05
53,12262303.00586124,1100.9617698025102,0.5016981072153612,-2.9861002343194636e-05
54,12262299.289219283,1100.9667088398724,0.5016981065064146,-3.047689712984143e-05
55,12262295.57257575,1100.9716478766622,0.5016981057848467,-3.099432873917906e-05
56,12262291.855930716,1100.9765869128803,0.5016981050500379,-3.161040825913453e-05
57,12262288.139284108,1100.9815259485263,0.5016981043026285,-3.212802462697124e-05
58,12262284.422635997,1100.9864649836004,0.5016981035419988,-3.274428890893633e-05
59,12262280.70598632,1100.9914040181027,0.5016981027687892,-3.326209004231717e-05
60,12262276.989335144,1100.9963430520334,0.50169810198238,-3.3878539114994695e-05
61,12262273.272682402,1101.0012820853926,0.5016981011834114,-3.439652505903643e-05
62,12262269.556028163,1101.0062211181805,0.5016981003712638,-3.501315895113114e-05
63,12262265.839372357,1101.0111601503972,0.5016980995465777,-3.553132971832116e-05
64,12262262.122715063,1101.016099182043,0.5016980987087333,-3.614814842046984e-05
65,12262258.406056205,1101.021038213118,0.5016980978583709,-3.6666504023297495e-05
66,12262254.689395862,1101.0259772436216,0.5016980969948709,-3.728350756964723e-05
67,12262250.972733952,1101.0309162735548,0.5016980961188736,-3.7802048036919394e-05
68,12262247.256070564,1101.0358553029175,0.5016980952297594,-3.8419236461619144e-05
69,12262243.539405614,1101.0407943317098,0.5016980943281687,-3.893796181670609e-05
70,12262239.822739184,1101.0457333599315,0.5016980934134817,-3.955533514302962e-05
71,12262236.106071196,1101.0506723875835,0.5016980924863389,-4.0074245409303545e-05
72,12262232.38940173,1101.055611414665,0.5016980915461206,-4.069180364964939e-05
73,12262228.672730716,1101.060550441177,0.5016980905934673,-4.121089884504592e-05
74,12262224.956058225,1101.0654894671188,0.5016980896277591,-4.182864202269165e-05
75,12262221.239384182,1101.0704284924914,0.5016980886496367,-4.2347922154271136e-05
76,12262217.522708662,1101.0753675172941,0.5016980876584802,-4.296585029793478e-05
77,12262213.806031602,1101.0803065415273,0.5016980866549302,-4.348531541082944e-05
78,12262210.089353068,1101.0852455651914,0.5016980856383669,-4.4103428527476654e-05
79,12262206.37267299,1101.0901845882863,0.501698084609431,-4.4623078634189305e-05
80,12262202.655991443,1101.0951236108122,0.5016980835675025,-4.524137675798049e-05
81,12262198.939308358,1101.1000626327689,0.501698082513222,-4.576121188733153e-05
82,12262195.22262381,1101.1050016541574,0.5016980814459698,-4.637969503611327e-05
83,12262191.505937722,1101.109940674977,0.5016980803663865,-4.689971520604796e-05
84,12262187.789250169,1101.1148796952282,0.5016980792738523,-4.751838339223019e-05
85,12262184.07256108,1101.1198187149107,0.5016980781690078,-4.803858863701135e-05
86,12262180.355870536,1101.1247577340253,0.5016980770512331,-4.8657441900198696e-05
87,12262176.639178459,1101.1296967525716,0.5016980759211691,-4.917783222145981e-05
88,12262172.922484921,1101.13463577055,0.5016980747781957,-4.9796870574066025e-05
89,12262169.205789855,1101.1395747879603,0.5016980736229537,-5.031744600063525e-05
90,12262165.489093337,1101.144513804803,0.5016980724548233,-5.09366694659531e-05
91,12262161.772395292,1101.1494528210778,0.5016980712744452,-5.1457430026660506e-05
92,12262158.055695796,1101.1543918367854,0.5016980700811995,-5.20768386279847e-05
93,12262154.338994775,1101.1593308519255,0.5016980688757269,-5.2597784335346676e-05
94,12262150.62229231,1101.1642698664982,0.5016980676574075,-5.3217378079658125e-05
95,12262146.905588323,1101.169208880504,0.5016980664268822,-5.373850896794721e-05
96,12262143.18888289,1101.1741478939427,0.5016980651835311,-5.435828790029863e-05
97,12262139.472175933,1101.1790869068145,0.5016980639279949,-5.487960399291216e-05
98,12262135.755467542,1101.1840259191197,0.5016980626596538,-5.5499568114849806e-05
99,12262132.038757632,1101.188964930858,0.5016980613791484,-5.602106939711718e-05
100,12262128.32204628,1101.19390394203,0.5016980600858592,-5.664121875913613e-05
101,12262124.605333416,1101.1988429526355,0.5016980587804266,-5.716290528165142e-05
102,12262120.888619117,1101.2037819626746,0.5016980574622311,-5.778323986354751e-05
103,12262117.17190331,1101.2087209721478,0.5016980561319131,-5.830511164971385e-05
104,12262113.455186067,1101.213659981055,0.5016980547888531,-5.892563149654739e-05
105,12262109.738467313,1101.218598989396,0.5016980534336917,-5.94476885588929e-05
106,12262106.021747135,1101.2235379971714,0.5016980520658091,-6.0068393699410524e-05
107,12262102.30502545,1101.2284770043811,0.501698050685846,-6.059063605046518e-05
108,12262098.588302335,1101.2334160110256,0.501698049293183,-6.121152651341546e-05
109,12262094.871577717,1101.2383550171046,0.5016980478884604,-6.173395419290392e-05
110,12262091.154851679,1101.2432940226183,0.5016980464710586,-6.235502996896742e-05
111,12262087.438124139,1101.2482330275668,0.5016980450416184,-6.287764300030071e-05
112,12262083.721395174,1101.2531720319503,0.50169804359952,-6.349890413454545e-05
113,12262080.004664714,1101.258111035769,0.5016980421454041,-6.402170254657513e-05
114,12262076.287932837,1101.263050039023,0.5016980406786511,-6.464314905143971e-05
115,12262072.571199467,1101.2679890417123,0.5016980391999016,-6.516613283494936e-05
116,12262068.854464678,1101.2729280438368,0.501698037708536,-6.578776472831295e-05
117,12262065.137728397,1101.277867045397,0.501698036205195,-6.631093392303498e-05
118,12262061.420990705,1101.282806046393,0.501698034689259,-6.693275123909436e-05
119,12262057.704251526,1101.287745046825,0.5016980331613685,-6.745610587932466e-05
120,12262053.987510933,1101.2926840466928,0.501698031620904,-6.807810862508566e-05
121,12262050.270768855,1101.2976230459967,0.5016980300685062,-6.860164870705228e-05
122,12262046.554025372,1101.302562044737,0.5016980285035555,-6.922383693303106e-05
123,12262042.837280406,1101.3075010429134,0.5016980269266925,-6.974756248015674e-05
124,12262039.120534033,1101.3124400405263,0.5016980253372976,-7.036993618248593e-05
125,12262035.403786182,1101.3173790375758,0.5016980237360115,-7.089384723994954e-05
126,12262031.687036932,1101.3223180340622,0.5016980221222146,-7.151640642020222e-05
127,12262027.970286202,1101.3272570299853,0.5016980204965477,-7.204050300599185e-05
128,12262024.253534073,1101.3321960253452,0.501698018858391,-7.266324772012855e-05
129,12262020.536780467,1101.3371350201423,0.5016980172083856,-7.318752981960295e-05
130,12262016.820025472,1101.3420740143767,0.5016980155459115,-7.381046008551636e-05
131,12262013.103269001,1101.3470130080482,0.5016980138716096,-7.433492776561445e-05
132,12262009.386511136,1101.351952001157,0.5016980121848603,-7.495804360119905e-05
133,12262005.669751802,1101.3568909937037,0.5016980104863044,-7.54826968527221e-05
134,12262001.952991081,1101.361829985688,0.5016980087753221,-7.610599827043575e-05
135,12261998.236228893,1101.3667689771103,0.5016980070525544,-7.66308371440111e-05
136,12261994.519465316,1101.3717079679705,0.5016980053173815,-7.725432416719069e-05
137,12261990.80270028,1101.3766469582683,0.5016980035704444,-7.77793486645006e-05
138,12261987.085933859,1101.3815859480046,0.5016980018111232,-7.840302132736217e-05
139,12261983.369165976,1101.386524937179,0.5016980000400589,-7.89282315099149e-05
140,12261979.652396709,1101.3914639257919,0.501697998256632,-7.955208981404508e-05
141,12261975.93562599,1101.396402913843,0.501697996461483,-8.007748565089552e-05
142,12261972.218853887,1101.401341901333,0.5016979946539926,-8.07015296250756e-05
143,12261968.502080332,1101.4062808882616,0.5016979928348013,-8.122711116142025e-05
144,12261964.7853054,1101.4112198746295,0.5016979910032898,-8.185134083987213e-05
145,12261961.06852902,1101.4161588604363,0.5016979891600988,-8.237710811003246e-05
146,12261957.351751262,1101.4210978456822,0.5016979873046087,-8.300152350522565e-05
147,12261953.634972058,1101.4260368303674,0.5016979854374602,-8.35274765108937e-05
148,12261949.918191487,1101.4309758144918,0.501697983558034,-8.415207764617678e-05
149,12261946.201409467,1101.4359147980558,0.5016979816669707,-8.467821640536234e-05
150,12261942.48462608,1101.4408537810593,0.5016979797636508,-8.530300328777014e-05
151,12261938.767841248,1101.4457927635026,0.5016979778487153,-8.582932781304633e-05
152,12261935.051055055,1101.4507317453858,0.5016979759215444,-8.645430049856266e-05
153,12261931.334267419,1101.4556707267088,0.501697973982779,-8.698081081882029e-05
154,12261927.617478421,1101.460609707472,0.5016979720317997,-8.760596930904534e-05
155,12261923.900687985,1101.4655486876754,0.5016979700692471,-8.813266548036996e-05
156,12261920.183896193,1101.470487667319,0.5016979680945017,-8.875800977146725e-05
157,12261916.467102967,1101.475426646403,0.5016979661082045,-8.92848917738067e-05
158,12261912.750308381,1101.4803656249278,0.5016979641097359,-8.991042192720438e-05
159,12261909.03351237,1101.4853046028932,0.5016979620997367,-9.043748978401673e-05
160,12261905.316715002,1101.4902435802996,0.5016979600775875,-9.106320579588233e-05
161,12261901.599916205,1101.4951825571468,0.501697958043929,-9.159045953606633e-05
162,12261897.883116053,1101.500121533435,0.5016979559981418,-9.221636144607774e-05
163,12261894.166314483,1101.5050605091644,0.5016979539408667,-9.274380110397258e-05
164,12261890.449511565,1101.5099994843351,0.5016979518714842,-9.336988891917824e-05
165,12261886.732707223,1101.5149384589472,0.5016979497906353,-9.38975145019324e-05
166,12261883.015901538,1101.5198774330008,0.5016979476977003,-9.452378825657552e-05
167,12261879.29909443,1101.524816406496,0.5016979455933201,-9.505159978765512e-05
168,12261875.582285982,1101.5297553794328,0.5016979434768754,-9.567805949422659e-05
169,12261871.865476113,1101.5346943518114,0.5016979413490068,-9.620605701885401e-05
170,12261868.148664908,1101.539633323632,0.501697939209095,-9.683270268440813e-05
171,12261864.43185229,1101.5445722948948,0.5016979370577809,-9.736088618798349e-05
172,12261860.715038333,1101.5495112655997,0.5016979348944449,-9.798771785220793e-05
173,12261856.998222968,1101.554450235747,0.5016979327197281,-9.851608735820322e-05
174,12261853.281406268,1101.5593892053369,0.5016979305330108,-9.914310505534911e-05
175,12261849.56458816,1101.5643281743692,0.501697928334934,-9.96716606089926e-05
176,12261845.847768717,1101.5692671428444,0.5016979261248782,-0.00010029886434068162
177,12261842.130947873,1101.5742061107621,0.5016979239034843,-0.00010082760594913355
178,12261838.414125703,1101.5791450781228,0.5016979216701329,-0.00010145499573330501
179,12261834.697302125,1101.5840840449266,0.501697919425465,-0.0001019839234091663
180,12261830.980477229,1101.5890230111734,0.501697917168861,-0.0001026114992637614
181,12261827.263650933,1101.5939619768635,0.5016979149009619,-0.00010314061303051209
182,12261823.546823312,1101.5989009419968,0.5016979126211483,-0.00010376837500066678
183,12261819.829994297,1101.6038399065735,0.501697910330061,-0.0001042976749198589
184,12261816.11316396,1101.608778870594,0.5016979080270805,-0.00010492562301264121
185,12261812.396332227,1101.6137178340582,0.5016979057128479,-0.00010545510905881168
186,12261808.679499177,1101.6186567969664,0.5016979033867437,-0.00010608324329216869
187,12261804.96266474,1101.6235957593185,0.5016979010494089,-0.00010661291551599634
188,12261801.245828988,1101.6285347211146,0.5016978987002241,-0.00010724123591875428
189,12261797.528991846,1101.6334736823549,0.5016978963398301,-0.00010777109431109571
190,12261793.812153399,1101.6384126430396,0.5016978939676076,-0.00010839960090120557
191,12261790.095313566,1101.6433516031686,0.5016978915841975,-0.00010892964551274367
192,12261786.378472421,1101.6482905627422,0.5016978891889805,-0.00010955833832447419
193,12261782.661629898,1101.6532295217605,0.5016978867825974,-0.00011008856915694664
194,12261778.94478607,1101.6581684802236,0.501697884364429,-0.00011071744820825281
195,12261775.22794086,1101.6631074381316,0.501697881935116,-0.0001112478652742765
196,12261771.511094347,1101.6680463954847,0.5016978794940392,-0.00011187693056136098
197,12261767.794246461,1101.6729853522827,0.5016978770418395,-0.00011240753391706323
198,12261764.077397276,1101.677924308526,0.5016978745778976,-0.00011303678547963929
199,12261760.360546716,1101.6828632642146,0.5016978721028544,-0.00011356757513220246
200,12261756.64369486,1101.6878022193484,0.5016978696160906,-0.00011419701297191517
201,12261752.926841635,1101.692741173928,0.5016978671182472,-0.00011472798893940074
