Sub-Channel,Inlet Mass Flow Rate [F0],Inlet Enthalpy [H0],Outlet Mass Flow Rate [F1 at last Node],Outlet Enthalpy [H1 at last Node],Heat Generated [C1 at last Node],H0 + C1
1,0.025757576,969,0.025757121532767643,971.9048172021589,0.14525267885350726,969.1452526788535
2,0.025757576,969,0.02571647742630757,971.9068502163934,0.14548224627228964,969.1454822462723
3,0.025757576,969,0.025725912446669535,971.9063270371133,0.14542889042111318,969.1454288904212
4,0.025757576,969,0.0257258360681934,971.9063296072595,0.14542932219083318,969.1454293221908
5,0.025757576,969,0.025725836406562674,971.9063295993237,0.1454293202780163,969.145429320278
6,0.025757576,969,0.02572583651375051,971.9063295958122,0.14542931967207862,969.1454293196721
7,0.025757576,969,0.025725836619763395,971.906329592321,0.14542931907278298,969.1454293190728
8,0.025757576,969,0.02572583793603405,971.9063295621519,0.14542931163184575,969.1454293116318
9,0.025757576,969,0.02572856498396062,971.9061474330856,0.14541389714203665,969.145413897142
10,0.025757576,969,0.02573150984014411,971.9062879018345,0.14539725517206192,969.145397255172
11,0.025757576,969,0.025807051566371038,973.0024146758931,0.1998862963545176,969.1998862963545
12,0.051515152,969,0.05154646019855774,971.5122882525475,0.12556557069938679,969.1255655706993
13,0.051515152,969,0.051548474364101066,971.5122573480967,0.12556066444660144,969.1255606644467
14,0.051515152,969,0.0515625555037189,971.5118995376916,0.12552637527630509,969.1255263752763
15,0.051515152,969,0.051562461772334846,971.5119010875685,0.1255266034609279,969.1255266034609
16,0.051515152,969,0.05156246221178954,971.5119010821048,0.12552660239109428,969.1255266023911
17,0.051515152,969,0.051562461716111396,971.5119010896221,0.1255266035978015,969.1255266035978
18,0.051515152,969,0.051562462657115754,971.511901078035,0.12552660130696675,969.125526601307
19,0.051515152,969,0.05156207678204248,971.5119071715925,0.12552754071029376,969.1255275407103
20,0.051515152,969,0.051574865412412026,971.5120739473124,0.12549641459282346,969.1254964145928
21,0.051515152,969,0.05151555738061581,971.5128215190773,0.12564089415832616,969.1256408941583
22,0.051515152,969,0.05148528327741309,971.5135893380606,0.12571477285052907,969.1257147728505
23,0.051515152,969,0.0514994637613273,971.5132294854815,0.12568015702768387,969.1256801570277
24,0.051515152,969,0.051499364703407824,971.5132311310018,0.12568039877076062,969.1256803987708
25,0.051515152,969,0.05149936527928008,971.5132311232672,0.12568039736538691,969.1256803973654
26,0.051515152,969,0.05149936636249501,971.5132311093411,0.12568039472188092,969.1256803947218
27,0.051515152,969,0.05149914896020582,971.5132346944558,0.12568092527832836,969.1256809252783
28,0.051515152,969,0.05153965957215858,971.5126701143358,0.12558213899925555,969.1255821389992
29,0.025757576,969,0.025687404006366696,973.0090222128237,0.20081733273449573,969.2008173327345
30,0.051515152,969,0.0515293460948331,971.5124778639489,0.12560727396876728,969.1256072739687
31,0.051515152,969,0.05150127681742914,971.5131923710026,0.12567573257086143,969.1256757325708
32,0.051515152,969,0.05151546876274713,971.512832431367,0.12564111028813196,969.1256411102881
33,0.051515152,969,0.05151536970976003,971.5128340761274,0.1256413518689912,969.125641351869
34,0.051515152,969,0.0515153710910402,971.5128340590251,0.1256413485001732,969.1256413485002
35,0.051515152,969,0.051515152570077986,971.5128376566853,0.12564188145537178,969.1256418814554
36,0.051515152,969,0.051547850819149726,971.5124690670399,0.12556218328234645,969.1255621832823
37,0.025757576,969,0.025725806709786518,973.0070612192545,0.2005175587154509,969.2005175587154
